Year_c,Month_c,Day_c,tName_c,date_ind,pod_id,pod_pls,pl_back,R-3_scr,R-2_scr,R-1_scr,R_scr,win_ind,fav_ind,mid_ind,weak_ind,tie_flag
2020,8,13,Celtic Classic (Wales),2020_8_13,2020_8_13_v0_d3_grp7_EUR,jake mcleod,3.85,7,4,0,-2,0,0,0,1,0
2020,8,13,Celtic Classic (Wales),2020_8_13,2020_8_13_v0_d3_grp7_EUR,thomas detry,1.48,1,-1,-5,-3,1,1,0,0,0
0,0,0,0,2020_8_13,2020_8_13_v0_d3_grp7_EUR,tie,10.5,0,0,0,0,0,0,0,0,0
2018,9,6,Omega European Masters (Switzerland) - Play Offs,2018_9_6,2018_9_6_v0_d3_grp8_EUR,doug ghim,3.05,1,0,-1,-3,0,0,0,1,1
2018,9,6,Omega European Masters (Switzerland) - Play Offs,2018_9_6,2018_9_6_v0_d3_grp8_EUR,lucas bjerregaard,1.73,0,-5,-4,-3,0,1,0,0,1
0,0,0,0,2018_9_6,2018_9_6_v0_d3_grp8_EUR,tie,9,0,0,0,0,1,0,0,0,1
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp3_EUR,bryson dechambeau,1.25,-3,-7,-4,-2,1,1,0,0,0
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp3_EUR,liam johnston,5.5,0,7,2,0,0,0,0,1,0
0,0,0,0,2019_1_31,2019_1_31_v0_d3_grp3_EUR,tie,12,0,0,0,0,0,0,0,0,0
2017,11,16,DP World Tour Championship (United Arab Emirates),2017_11_16,2017_11_16_v0_d3_grp12_EUR,alexander levy,2.68,-1,-7,-2,-2,0,0,0,1,0
2017,11,16,DP World Tour Championship (United Arab Emirates),2017_11_16,2017_11_16_v0_d3_grp12_EUR,branden grace,1.76,2,0,-4,-4,1,1,0,0,0
0,0,0,0,2017_11_16,2017_11_16_v0_d3_grp12_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2020,12,10,DP World Tour Championship (United Arab Emirates),2020_12_10,2020_12_10_v0_d3_grp5_EUR,danny willett,1.95,0,2,1,-3,0,1,0,0,0
2020,12,10,DP World Tour Championship (United Arab Emirates),2020_12_10,2020_12_10_v0_d3_grp5_EUR,adri arnaus,2.32,2,-5,-3,-5,1,0,0,1,0
0,0,0,0,2020_12_10,2020_12_10_v0_d3_grp5_EUR,tie,9.2,0,0,0,0,0,0,0,0,0
2019,8,15,D-D Real Czech Masters (Czech Republic),2019_8_15,2019_8_15_v0_d3_grp0_EUR,mikko korhonen,2.7,7,-1,0,-5,1,0,0,1,0
2019,8,15,D-D Real Czech Masters (Czech Republic),2019_8_15,2019_8_15_v0_d3_grp0_EUR,bernd wiesberger,1.8,-5,-6,3,-1,0,1,0,0,0
