Year_c,Month_c,Day_c,tName_c,date_ind,pod_id,pod_pls,pl_back,R-3_scr,R-2_scr,R-1_scr,R_scr,win_ind,fav_ind,mid_ind,weak_ind,tie_flag
0,0,0,0,2019_8_15,2019_8_15_v0_d3_grp0_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2019,9,12,KLM Open (Netherlands),2019_9_12,2019_9_12_v0_d3_grp2_EUR,thomas pieters,1.66,-6,0,2,-2,1,1,0,0,0
2019,9,12,KLM Open (Netherlands),2019_9_12,2019_9_12_v0_d3_grp2_EUR,bradley dredge,3.25,-4,-3,-1,0,0,0,0,1,0
0,0,0,0,2019_9_12,2019_9_12_v0_d3_grp2_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2020,10,8,BMW PGA Championship (United Kingdom),2020_10_8,2020_10_8_v0_d3_grp7_EUR,joachim b. hansen,2.3,-3,3,-2,-2,1,0,0,1,0
2020,10,8,BMW PGA Championship (United Kingdom),2020_10_8,2020_10_8_v0_d3_grp7_EUR,adri arnaus,1.95,-6,3,-4,2,0,1,0,0,0
0,0,0,0,2020_10_8,2020_10_8_v0_d3_grp7_EUR,tie,9.8,0,0,0,0,0,0,0,0,0
2019,11,28,Alfred Dunhill Championship (South Africa),2019_11_28,2019_11_28_v0_d3_grp6_EUR,adrian otaegui,2.2,2,1,0,-1,1,0,0,1,0
2019,11,28,Alfred Dunhill Championship (South Africa),2019_11_28,2019_11_28_v0_d3_grp6_EUR,antoine rozner,2.14,1,-2,-1,6,0,1,0,0,0
0,0,0,0,2019_11_28,2019_11_28_v0_d3_grp6_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2019,5,1,Volvo China Open (China) - Play Offs,2019_5_1,2019_5_1_v0_d3_grp7_EUR,victor dubuisson,2.02,0,-2,3,-4,1,1,0,0,0
2019,5,1,Volvo China Open (China) - Play Offs,2019_5_1,2019_5_1_v0_d3_grp7_EUR,romain langasque,2.24,-1,-2,0,-2,0,0,0,1,0
0,0,0,0,2019_5_1,2019_5_1_v0_d3_grp7_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,12,13,Alfred Dunhill Championship (South Africa),2018_12_13,2018_12_13_v0_d3_grp6_EUR,dylan frittelli,1.6,3,-6,-4,0,0,1,0,0,1
2018,12,13,Alfred Dunhill Championship (South Africa),2018_12_13,2018_12_13_v0_d3_grp6_EUR,oliver wilson,3.05,10,1,-3,0,0,0,0,1,1
0,0,0,0,2018_12_13,2018_12_13_v0_d3_grp6_EUR,tie,9,0,0,0,0,1,0,0,0,1
2020,10,8,BMW PGA Championship (United Kingdom),2020_10_8,2020_10_8_v0_d3_grp1_EUR,andrew johnston,1.88,-3,-1,0,-1,0,1,0,0,0
2020,10,8,BMW PGA Championship (United Kingdom),2020_10_8,2020_10_8_v0_d3_grp1_EUR,masahiro kawamura,2.48,-6,-4,6,-3,1,0,0,1,0
0,0,0,0,2020_10_8,2020_10_8_v0_d3_grp1_EUR,tie,9.6,0,0,0,0,0,0,0,0,0
2020,1,30,Saudi International (Saudi Arabia),2020_1_30,2020_1_30_v0_d3_grp7_EUR,jazz janewattananond,1.84,-2,1,-3,6,0,1,0,0,0
2020,1,30,Saudi International (Saudi Arabia),2020_1_30,2020_1_30_v0_d3_grp7_EUR,victor dubuisson,2.62,-2,2,3,-5,1,0,0,1,0
0,0,0,0,2020_1_30,2020_1_30_v0_d3_grp7_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp9_EUR,nico geyger,2.44,-1,-5,-3,1,0,0,0,1,1
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp9_EUR,scott hend,1.9,3,3,-4,1,0,1,0,0,1
0,0,0,0,2018_6_21,2018_6_21_v0_d3_grp9_EUR,tie,8.6,0,0,0,0,1,0,0,0,1
2019,4,25,Trophée Hassan II (Morocco),2019_4_25,2019_4_25_v0_d3_grp7_EUR,dimi papadatos,3.3,0,2,6,5,0,0,0,1,0
2019,4,25,Trophée Hassan II (Morocco),2019_4_25,2019_4_25_v0_d3_grp7_EUR,jordan smith,1.56,-2,2,-1,0,1,1,0,0,0
0,0,0,0,2019_4_25,2019_4_25_v0_d3_grp7_EUR,tie,10.5,0,0,0,0,0,0,0,0,0
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp6_EUR,justin walters,1.82,-2,1,0,3,0,1,0,0,0
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp6_EUR,felipe aguilar,2.44,1,-6,5,0,1,0,0,1,0
0,0,0,0,2018_3_1,2018_3_1_v0_d3_grp6_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2020,12,3,South African Open (South Africa),2020_12_3,2020_12_3_v0_d3_grp2_EUR,aron zemmer,2.62,1,6,5,0,1,0,0,1,0
2020,12,3,South African Open (South Africa),2020_12_3,2020_12_3_v0_d3_grp2_EUR,peter karmis,1.66,6,-2,-2,1,0,1,0,0,0
0,0,0,0,2020_12_3,2020_12_3_v0_d3_grp2_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,7,5,Irish Open (Europe) - Play Offs,2018_7_5,2018_7_5_v0_d3_grp2_EUR,jorge campillo,1.7,-1,-1,-1,-3,0,1,0,0,0
2018,7,5,Irish Open (Europe) - Play Offs,2018_7_5,2018_7_5_v0_d3_grp2_EUR,raphael jacquelin,2.9,-2,3,1,-4,1,0,0,1,0
0,0,0,0,2018_7_5,2018_7_5_v0_d3_grp2_EUR,tie,9,0,0,0,0,0,0,0,0,0
2020,8,27,UK Championship (England) - Play Offs,2020_8_27,2020_8_27_v0_d3_grp8_EUR,marcus armitage,2.52,-5,-8,0,-1,1,0,0,1,0
2020,8,27,UK Championship (England) - Play Offs,2020_8_27,2020_8_27_v0_d3_grp8_EUR,paul waring,1.81,-5,-4,0,4,0,1,0,0,0
0,0,0,0,2020_8_27,2020_8_27_v0_d3_grp8_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,5,10,Rocco Forte Sicilian Open (Italy) - Play Offs,2018_5_10,2018_5_10_v0_d3_grp2_EUR,michael lorenzo-vera,2.02,-3,1,2,-8,0,1,0,0,1
2018,5,10,Rocco Forte Sicilian Open (Italy) - Play Offs,2018_5_10,2018_5_10_v0_d3_grp2_EUR,joakim lagergren,2.2,-6,-1,-4,-8,0,0,0,1,1
0,0,0,0,2018_5_10,2018_5_10_v0_d3_grp2_EUR,tie,8.8,0,0,0,0,1,0,0,0,1
2019,11,28,Alfred Dunhill Championship (South Africa),2019_11_28,2019_11_28_v0_d3_grp0_EUR,george coetzee,1.87,-3,5,1,0,1,1,0,0,0
2019,11,28,Alfred Dunhill Championship (South Africa),2019_11_28,2019_11_28_v0_d3_grp0_EUR,connor syme,2.56,0,-1,1,1,0,0,0,1,0
0,0,0,0,2019_11_28,2019_11_28_v0_d3_grp0_EUR,tie,9.6,0,0,0,0,0,0,0,0,0
0,0,0,0,2018_1_11,2018_1_11_v0_d3_grp3_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,1,11,South African Open (South Africa),2018_1_11,2018_1_11_v0_d3_grp3_EUR,matthieu pavon,2.06,-4,-5,-2,-4,0,1,0,0,0
2018,1,11,South African Open (South Africa),2018_1_11,2018_1_11_v0_d3_grp3_EUR,trevor fisher jnr,2.24,-1,5,-1,-5,1,0,0,1,0
2020,7,22,British Masters (England),2020_7_22,2020_7_22_v0_d3_grp5_EUR,pedro figueiredo,3.05,5,5,0,-1,1,0,0,1,0
2020,7,22,British Masters (England),2020_7_22,2020_7_22_v0_d3_grp5_EUR,ryan fox,1.65,-1,-3,2,0,0,1,0,0,0
0,0,0,0,2020_7_22,2020_7_22_v0_d3_grp5_EUR,tie,9.2,0,0,0,0,0,0,0,0,0
2019,7,4,Irish Open (Europe),2019_7_4,2019_7_4_v0_d3_grp4_EUR,hyowon park,2.74,5,2,7,2,0,0,0,1,0
2019,7,4,Irish Open (Europe),2019_7_4,2019_7_4_v0_d3_grp4_EUR,wade ormsby,1.86,-2,-1,1,-1,1,1,0,0,0
0,0,0,0,2019_7_4,2019_7_4_v0_d3_grp4_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp7_EUR,nick cullen,2.7,1,1,-2,5,0,0,0,1,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp7_EUR,martin kaymer,1.84,1,2,-3,-1,1,1,0,0,0
0,0,0,0,2018_6_21,2018_6_21_v0_d3_grp7_EUR,tie,9.2,0,0,0,0,0,0,0,0,0
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp3_EUR,scott jamieson,2.32,-2,-3,3,-4,0,0,0,1,1
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp3_EUR,erik van rooyen,1.84,-2,-1,4,-4,0,1,0,0,1
0,0,0,0,2018_3_1,2018_3_1_v0_d3_grp3_EUR,tie,8.6,0,0,0,0,1,0,0,0,1
2018,8,23,D-D Real Czech Masters (Czech Republic),2018_8_23,2018_8_23_v0_d3_grp9_EUR,jeff winther,1.94,-1,1,6,3,0,1,0,0,0
2018,8,23,D-D Real Czech Masters (Czech Republic),2018_8_23,2018_8_23_v0_d3_grp9_EUR,gavin green,2.04,-5,0,7,-2,1,0,0,1,0
0,0,0,0,2018_8_23,2018_8_23_v0_d3_grp9_EUR,tie,8.4,0,0,0,0,0,0,0,0,0
2019,12,5,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2019_12_5,2019_12_5_v0_d3_grp1_EUR,garrick higgo,2,1,1,4,-1,1,1,0,0,0
2019,12,5,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2019_12_5,2019_12_5_v0_d3_grp1_EUR,sebastian garcia rodriguez,2.24,1,1,1,0,0,0,0,1,0
0,0,0,0,2019_12_5,2019_12_5_v0_d3_grp1_EUR,tie,9.8,0,0,0,0,0,0,0,0,0
2017,9,28,British Masters (England),2017_9_28,2017_9_28_v0_d3_grp5_EUR,george coetzee,1.67,0,-3,-4,-5,1,1,0,0,0
2017,9,28,British Masters (England),2017_9_28,2017_9_28_v0_d3_grp5_EUR,darren fichardt,2.88,4,0,4,3,0,0,0,1,0
0,0,0,0,2017_9_28,2017_9_28_v0_d3_grp5_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,8,30,Made in Denmark (Denmark) - Play Offs,2018_8_30,2018_8_30_v0_d3_grp6_EUR,hunter stewart,2.86,4,4,-3,0,0,0,0,1,0
2018,8,30,Made in Denmark (Denmark) - Play Offs,2018_8_30,2018_8_30_v0_d3_grp6_EUR,matt wallace,1.74,-1,-2,1,-6,1,1,0,0,0
0,0,0,0,2018_8_30,2018_8_30_v0_d3_grp6_EUR,tie,9.8,0,0,0,0,0,0,0,0,0
0,0,0,0,2018_3_1,2018_3_1_v0_d3_grp5_EUR,tie,8.6,0,0,0,0,1,0,0,0,1
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp5_EUR,jc ritchie,2.02,-4,-3,-7,3,0,1,0,0,1
2018,3,1,Tshwane Open (South Africa),2018_3_1,2018_3_1_v0_d3_grp5_EUR,ricardo gouveia,2.14,-3,-3,0,3,0,0,0,1,1
2019,12,5,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2019_12_5,2019_12_5_v0_d3_grp3_EUR,ashun wu,2.52,5,5,0,-4,0,0,0,1,0
2019,12,5,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2019_12_5,2019_12_5_v0_d3_grp3_EUR,renato paratore,1.98,-4,-3,3,-6,1,1,0,0,0
0,0,0,0,2019_12_5,2019_12_5_v0_d3_grp3_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2017,11,30,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2017_11_30,2017_11_30_v0_d3_grp6_EUR,jose-filipe lima,2.26,-5,9,-1,-2,0,0,0,1,0
2017,11,30,AfrAsia Bank Mauritius Open (Mauritius) - Play Offs,2017_11_30,2017_11_30_v0_d3_grp6_EUR,miguel tabuena,2.06,11,1,0,-4,1,1,0,0,0
0,0,0,0,2017_11_30,2017_11_30_v0_d3_grp6_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2019,9,12,KLM Open (Netherlands),2019_9_12,2019_9_12_v0_d3_grp1_EUR,maximilian kieffer,1.99,1,4,-2,1,0,1,0,0,0
2019,9,12,KLM Open (Netherlands),2019_9_12,2019_9_12_v0_d3_grp1_EUR,steven brown,2.52,-2,-1,-2,-4,1,0,0,1,0
0,0,0,0,2019_9_12,2019_9_12_v0_d3_grp1_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2020,11,26,Alfred Dunhill Championship (South Africa),2020_11_26,2020_11_26_v0_d3_grp2_EUR,calum hill,2.1,2,-6,-1,-5,1,0,0,1,0
2020,11,26,Alfred Dunhill Championship (South Africa),2020_11_26,2020_11_26_v0_d3_grp2_EUR,julian suri,2,1,2,0,-4,0,1,0,0,0
0,0,0,0,2020_11_26,2020_11_26_v0_d3_grp2_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp4_EUR,edoardo molinari,2.82,5,-4,-4,-1,1,0,0,1,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp4_EUR,thomas detry,1.7,3,1,-1,4,0,1,0,0,0
0,0,0,0,2018_6_21,2018_6_21_v0_d3_grp4_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,11,15,DP World Tour Championship (United Arab Emirates),2018_11_15,2018_11_15_v0_d3_grp18_EUR,sam horsfield,2.02,2,-3,2,0,0,1,0,0,1
2018,11,15,DP World Tour Championship (United Arab Emirates),2018_11_15,2018_11_15_v0_d3_grp18_EUR,matthew southgate,2.3,4,-3,-1,0,0,0,0,1,1
0,0,0,0,2018_11_15,2018_11_15_v0_d3_grp18_EUR,tie,9,0,0,0,0,1,0,0,0,1
2017,9,7,Omega European Masters (Switzerland) - Play Offs,2017_9_7,2017_9_7_v0_d3_grp6_EUR,julian suri,2.36,-3,-6,-4,2,0,0,0,1,0
2017,9,7,Omega European Masters (Switzerland) - Play Offs,2017_9_7,2017_9_7_v0_d3_grp6_EUR,matthew fitzpatrick,1.94,-2,1,1,0,1,1,0,0,0
0,0,0,0,2017_9_7,2017_9_7_v0_d3_grp6_EUR,tie,7.2,0,0,0,0,0,0,0,0,0
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp4_EUR,jake mcleod,2.06,-2,-4,3,3,0,1,0,0,0
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp4_EUR,yusaku miyazato,2.32,-6,0,-2,0,1,0,0,1,0
0,0,0,0,2019_1_31,2019_1_31_v0_d3_grp4_EUR,tie,9.2,0,0,0,0,0,0,0,0,0
2018,6,28,Open de France (France),2018_6_28,2018_6_28_v0_d3_grp8_EUR,bradley dredge,3.9,-4,-1,2,4,0,0,0,1,0
2018,6,28,Open de France (France),2018_6_28,2018_6_28_v0_d3_grp8_EUR,jon rahm,1.48,-6,5,-6,-3,1,1,0,0,0
0,0,0,0,2018_6_28,2018_6_28_v0_d3_grp8_EUR,tie,9.6,0,0,0,0,0,0,0,0,0
2020,10,1,Scottish Open (Scotland) - Play Offs,2020_10_1,2020_10_1_v0_d3_grp7_EUR,mike lorenzo vera,1.97,-5,1,2,5,0,1,0,0,0
2020,10,1,Scottish Open (Scotland) - Play Offs,2020_10_1,2020_10_1_v0_d3_grp7_EUR,marcus kinhult,2.36,3,1,-4,0,1,0,0,1,0
0,0,0,0,2020_10_1,2020_10_1_v0_d3_grp7_EUR,tie,8.4,0,0,0,0,0,0,0,0,0
2017,10,12,Italian Open (Italy),2017_10_12,2017_10_12_v0_d3_grp5_EUR,alexander bjork,3.15,-1,2,2,-2,0,0,0,1,0
2017,10,12,Italian Open (Italy),2017_10_12,2017_10_12_v0_d3_grp5_EUR,tyrrell hatton,1.74,-2,1,-7,-6,1,1,0,0,0
0,0,0,0,2017_10_12,2017_10_12_v0_d3_grp5_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp8_EUR,henric sturehed,2.52,0,0,-3,4,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp8_EUR,sebastien gros,1.86,-1,-2,1,3,1,0,0,1,0
0,0,0,0,2018_6_21,2018_6_21_v0_d3_grp8_EUR,tie,1.57,0,0,0,0,0,1,0,0,0
2019,9,26,Alfred Dunhill Links Championship (Scotland),2019_9_26,2019_9_26_v0_d3_grp1_EUR,luke donald,3.5,6,0,-1,-9,1,0,0,1,0
2019,9,26,Alfred Dunhill Links Championship (Scotland),2019_9_26,2019_9_26_v0_d3_grp1_EUR,tony finau,1.51,-1,-4,5,-7,0,1,0,0,0
0,0,0,0,2019_9_26,2019_9_26_v0_d3_grp1_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,11,15,DP World Tour Championship (United Arab Emirates),2018_11_15,2018_11_15_v0_d3_grp0_EUR,chris wood,1.94,-3,0,0,1,0,1,0,0,0
2018,11,15,DP World Tour Championship (United Arab Emirates),2018_11_15,2018_11_15_v0_d3_grp0_EUR,brandon stone,2.32,-1,-1,3,0,1,0,0,1,0
0,0,0,0,2018_11_15,2018_11_15_v0_d3_grp0_EUR,tie,9.8,0,0,0,0,0,0,0,0,0
2019,10,10,Italian Open (Italy),2019_10_10,2019_10_10_v0_d3_grp1_EUR,matt wallace,1.71,-9,0,-5,-4,0,1,0,0,0
2019,10,10,Italian Open (Italy),2019_10_10,2019_10_10_v0_d3_grp1_EUR,kurt kitayama,3,2,-2,-4,-6,1,0,0,1,0
0,0,0,0,2019_10_10,2019_10_10_v0_d3_grp1_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp1_EUR,sergio garcia,1.69,-2,-2,3,-1,1,1,0,0,0
2018,6,21,BMW International Open (Germany),2018_6_21,2018_6_21_v0_d3_grp1_EUR,sam horsfield,2.7,-4,1,0,0,0,0,0,1,0
0,0,0,0,2018_6_21,2018_6_21_v0_d3_grp1_EUR,tie,9.2,0,0,0,0,0,0,0,0,0
2020,12,10,DP World Tour Championship (United Arab Emirates),2020_12_10,2020_12_10_v0_d3_grp3_EUR,robert macintyre,1.9,-5,-2,-6,-6,1,1,0,0,0
2020,12,10,DP World Tour Championship (United Arab Emirates),2020_12_10,2020_12_10_v0_d3_grp3_EUR,adrian otaegui,2.62,-1,-2,-3,1,0,0,0,1,0
0,0,0,0,2020_12_10,2020_12_10_v0_d3_grp3_EUR,tie,10,0,0,0,0,0,0,0,0,0
2018,8,30,Made in Denmark (Denmark) - Play Offs,2018_8_30,2018_8_30_v0_d3_grp5_EUR,fabrizio zanotti,1.95,1,-1,0,2,0,1,0,0,0
2018,8,30,Made in Denmark (Denmark) - Play Offs,2018_8_30,2018_8_30_v0_d3_grp5_EUR,callum shinkwin,2.28,0,-2,-4,-5,1,0,0,1,0
0,0,0,0,2018_8_30,2018_8_30_v0_d3_grp5_EUR,tie,9.8,0,0,0,0,0,0,0,0,0
2018,12,13,Alfred Dunhill Championship (South Africa),2018_12_13,2018_12_13_v0_d3_grp5_EUR,dimi papadatos,2.36,0,0,2,6,0,0,0,1,0
2018,12,13,Alfred Dunhill Championship (South Africa),2018_12_13,2018_12_13_v0_d3_grp5_EUR,oliver bekker,1.97,-1,1,-2,3,1,1,0,0,0
0,0,0,0,2018_12_13,2018_12_13_v0_d3_grp5_EUR,tie,7.6,0,0,0,0,0,0,0,0,0
2017,9,21,Portugal Masters (Portugal),2017_9_21,2017_9_21_v0_d3_grp0_EUR,danny willett,2.14,0,3,4,4,0,0,0,1,0
2017,9,21,Portugal Masters (Portugal),2017_9_21,2017_9_21_v0_d3_grp0_EUR,thomas aiken,2.12,3,2,2,-1,1,1,0,0,0
0,0,0,0,2017_9_21,2017_9_21_v0_d3_grp0_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2019,10,10,Italian Open (Italy),2019_10_10,2019_10_10_v0_d3_grp3_EUR,justin rose,1.59,1,-3,-3,7,0,1,0,0,0
2019,10,10,Italian Open (Italy),2019_10_10,2019_10_10_v0_d3_grp3_EUR,shubhankar sharma,3.4,-2,-6,6,1,1,0,0,1,0
0,0,0,0,2019_10_10,2019_10_10_v0_d3_grp3_EUR,tie,9,0,0,0,0,0,0,0,0,0
2017,11,16,DP World Tour Championship (United Arab Emirates),2017_11_16,2017_11_16_v0_d3_grp7_EUR,soren kjeldsen,1.99,-1,0,-3,-2,0,1,0,0,0
2017,11,16,DP World Tour Championship (United Arab Emirates),2017_11_16,2017_11_16_v0_d3_grp7_EUR,paul dunne,2.18,-2,-4,1,-5,1,0,0,1,0
0,0,0,0,2017_11_16,2017_11_16_v0_d3_grp7_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2018,4,25,Volvo China Open (China),2018_4_25,2018_4_25_v0_d3_grp2_EUR,jeunghun wang,2.16,2,6,-5,-4,0,0,0,1,0
2018,4,25,Volvo China Open (China),2018_4_25,2018_4_25_v0_d3_grp2_EUR,alexander bjork,2.06,-3,-4,-3,-5,1,1,0,0,0
0,0,0,0,2018_4_25,2018_4_25_v0_d3_grp2_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2018,7,26,Porsche European Open (Germany),2018_7_26,2018_7_26_v0_d3_grp4_EUR,renato paratore,2.44,-4,1,3,-2,1,0,0,1,0
2018,7,26,Porsche European Open (Germany),2018_7_26,2018_7_26_v0_d3_grp4_EUR,jeunghun wang,1.95,-2,3,0,0,0,1,0,0,0
0,0,0,0,2018_7_26,2018_7_26_v0_d3_grp4_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2017,10,5,Alfred Dunhill Links Championship (Scotland),2017_10_5,2017_10_5_v1_d3_grp5_EUR,padraig harrington,1.89,6,-1,0,2,0,1,0,0,0
2017,10,5,Alfred Dunhill Links Championship (Scotland),2017_10_5,2017_10_5_v1_d3_grp5_EUR,robert karlsson,2.52,1,1,-3,-1,1,0,0,1,0
0,0,0,0,2017_10_5,2017_10_5_v1_d3_grp5_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2017,9,21,Portugal Masters (Portugal),2017_9_21,2017_9_21_v0_d3_grp3_EUR,padraig harrington,2.1,7,6,-1,0,0,1,0,0,0
2017,9,21,Portugal Masters (Portugal),2017_9_21,2017_9_21_v0_d3_grp3_EUR,nacho elvira,2.18,1,-2,0,-3,1,0,0,1,0
0,0,0,0,2017_9_21,2017_9_21_v0_d3_grp3_EUR,tie,8.8,0,0,0,0,0,0,0,0,0
2018,8,23,D-D Real Czech Masters (Czech Republic),2018_8_23,2018_8_23_v0_d3_grp0_EUR,nino bertasio,2.4,0,1,-4,-5,1,0,0,1,0
2018,8,23,D-D Real Czech Masters (Czech Republic),2018_8_23,2018_8_23_v0_d3_grp0_EUR,lee slattery,1.84,-6,0,0,-4,0,1,0,0,0
0,0,0,0,2018_8_23,2018_8_23_v0_d3_grp0_EUR,tie,8.6,0,0,0,0,0,0,0,0,0
2017,9,7,Omega European Masters (Switzerland) - Play Offs,2017_9_7,2017_9_7_v0_d3_grp5_EUR,richard sterne,2.16,-1,-6,-1,0,0,0,0,1,0
2017,9,7,Omega European Masters (Switzerland) - Play Offs,2017_9_7,2017_9_7_v0_d3_grp5_EUR,alexander bjork,2.1,1,0,-2,-1,1,1,0,0,0
0,0,0,0,2017_9_7,2017_9_7_v0_d3_grp5_EUR,tie,7.2,0,0,0,0,0,0,0,0,0
2020,7,22,British Masters (England),2020_7_22,2020_7_22_v0_d3_grp2_EUR,clement sordet,1.87,-2,-6,3,0,0,1,0,0,0
2020,7,22,British Masters (England),2020_7_22,2020_7_22_v0_d3_grp2_EUR,garrick porteous,2.52,-3,-1,3,-1,1,0,0,1,0
0,0,0,0,2020_7_22,2020_7_22_v0_d3_grp2_EUR,tie,9,0,0,0,0,0,0,0,0,0
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp5_EUR,ian poulter,1.76,-4,-3,-2,-2,1,1,0,0,0
2019,1,31,Saudi International (Saudi Arabia),2019_1_31,2019_1_31_v0_d3_grp5_EUR,chris paisley,2.8,-4,-2,0,0,0,0,0,1,0
0,0,0,0,2019_1_31,2019_1_31_v0_d3_grp5_EUR,tie,9.4,0,0,0,0,0,0,0,0,0
2019,10,24,Portugal Masters (Portugal),2019_10_24,2019_10_24_v0_d3_grp4_EUR,jamie donaldson,1.9,1,-2,-5,2,0,1,0,0,0
